sandi_bank,nama_bank
002,Bank BRI
008,Bank Mandiri
009,Bank BNI
427,Bank Syariah Indonesia (Eks. BNI Syariah)
451,Bank Syariah Indonesia (Eks. Bank Syariah Mandiri, BSM)
422,Bank Syariah Indonesia (Eks. BRI Syariah)
200,Bank BTN
022,Bank CIMB
022,Bank CIMB Niaga Syariah
147,Bank Muamalat
213,Bank BTPN
547,Bank BTPN Syariah
213,Bank Jenius
013,Bank Permata
013,Bank Permata Syariah
046,Bank DBS Indonesia
046,Digibank
011,BANK DANAMON
016,BANK MAYBANK (BII)
426,BANK MEGA
153,BANK SINARMAS
950,BANK COMMONWEALTH
028,BANK OCBC NISP
441,BANK BUKOPIN
521,BANK BUKOPIN SYARIAH
536,BANK BCA SYARIAH
026,BANK LIPPO
031,CITIBANK
789,INDOSAT DOMPETKU
911,LINKAJA
023,Bank UOB Indonesia
023,TMRW by UOB Indonesia
542,Bank Jago (Bank Artos Indonesia)
490,Bank NEO Commerce (Akulaku)
110,BANK JABAR BJB (JAWA BARAT)
425,BANK JABAR BJB SYARIAH (JAWA BARAT)
111,BANK DKI JAKARTA
112,BPD DIY (YOGYAKARTA)
113,BANK JATENG (JAWA TENGAH)
114,BANK JATIM (JAWA TIMUR)
115,BANK JAMBI
116,BANK ACEH
116,BANK ACEH SYARIAH
117,BANK SUMUT
118,BANK NAGARI (BANK SUMBAR)
119,BANK RIAU KEPRI
120,BANK SUMSEL BABEL (SUMATERA SELATAN BANGKA BELITUNG)
121,BANK LAMPUNG
122,BANK KALSEL (BANK KALIMANTAN SELATAN)
123,BANK KALBAR (BANK KALIMANTAN BARAT)
124,BANK KALTIMTARA (BANK KALIMANTAN TIMUR DAN UTARA)
125,BANK KALTENG (BANK KALIMANTAN TENGAH)
126,BANK SULSELBAR (BANK SULAWESI SELATAN DAN BARAT)
127,BANK SULUTGO (BANK SULAWESI UTARA DAN GORONTALO)
128,BANK NTB
128,BANK NTB SYARIAH
129,BANK BPD BALI
130,BANK NTT
131,BANK MALUKU MALUT
132,BANK PAPUA
133,BANK BENGKULU
134,BANK SULTENG (BANK SULAWESI TENGAH)
135,BANK SULTRA (BANK SULAWESI TENGGARA)
137,BANK BANTEN
003,BANK EKSPOR INDONESIA
019,BANK PANIN
517,BANK PANIN DUBAI SYARIAH
020,BANK ARTA NIAGA KENCANA
030,AMERICAN EXPRESS BANK LTD
031,CITIBANK
032,JP. MORGAN CHASE BANK, N.A.
033,BANK OF AMERICA, N.A
034,ING INDONESIA BANK
036,BANK CCB INDONESIA
037,BANK ARTHA GRAHA INTERNASIONAL
039,BANK CREDIT AGRICOLE INDOSUEZ
040,THE BANGKOK BANK COMP. LTD
042,MUFG BANK
045,BANK SUMITOMO MITSUI INDONESIA
047,BANK RESONA PERDANIA
048,BANK MIZUHO INDONESIA
050,STANDARD CHARTERED BANK
052,BANK ABN AMRO
053,BANK KEPPEL TATLEE BUANA
054,BANK CAPITAL INDONESIA
057,BANK BNP PARIBAS INDONESIA
059,KOREA EXCHANGE BANK DANAMON
060,RABOBANK INTERNASIONAL INDONESIA
061,BANK ANZ INDONESIA
069,BANK OF CHINA
076,BANK BUMI ARTA
087,BANK HSBC INDONESIA
087,BANK EKONOMI (Lebur dengan Bank HSBC)
088,BANK ANTARDAERAH
089,BANK HAGA
093,BANK IFI
095,BANK J TRUST INDONESIA
097,BANK MAYAPADA
145,BANK NUSANTARA PARAHYANGAN
146,BANK SWADESI (BANK OF INDIA INDONESIA)
151,BANK MESTIKA
152,BANK SHINHAN INDONESIA (BANK METRO EXPRESS)
157,BANK MASPION INDONESIA
159,BANK HAGAKITA
161,BANK GANESHA
162,BANK WINDU KENTJANA
164,BANK ICBC INDONESIA (HALIM INDONESIA BANK)
166,BANK HARMONI INTERNATIONAL
167,BANK QNB INDONESIA
212,BANK WOORI SAUDARA
405,BANK VICTORIA SYARIAH
459,BANK BISNIS INTERNASIONAL
466,BANK SRI PARTHA
472,BANK JASA JAKARTA
484,BANK HANA (KEB HANA BANK)
485,BANK MNC
490,BANK YUDHA BHAKTI
491,BANK MITRANIAGA
494,BANK BRI AGRO
498,BANK SBI INDONESIA (BANK INDOMONEX)
501,BANK DIGITAL BCA (BCA DIGITAL)
503,BANK NATIONAL NOBU (BANK ALFINDO)
506,BANK MEGA SYARIAH
513,BANK INA PERDANA
517,BANK PANIN DUBAI SYARIAH
520,PRIMA MASTER BANK
521,BANK PERSYARIKATAN INDONESIA
525,BANK AKITA
526,BANK DINAR INDONESIA
531,ANGLOMAS INTERNASIONAL BANK
523,BANK SAHABAT SAMPEORNA (BANK DIPO INTERNATIONAL)
535,BANK KESEJAHTERAAN EKONOMI
548,BANK MULTIARTA SENTOSA
553,BANK MAYORA INDONESIA
555,BANK INDEX SELINDO
558,BANK EKSEKUTIF
559,CENTRATAMA NASIONAL BANK
562,BANK FAMA INTERNASIONAL
564,BANK MANDIRI TASPEN POS (BANK SINAR HARAPAN BALI)
566,BANK VICTORIA INTERNATIONAL
567,BANK HARDA INTERNASIONAL
945,IBK BANK INDONESIA
946,BANK MERINCORP
947,BANK MAYBANK INDOCORP
949,BANK CTBC INDONESIA (CHINA TRUST)
688,BPR KS (KARYAJATNIKA SEDAYA)
002,Bank BRI
008,Bank Mandiri
009,Bank BNI
427,Bank Syariah Indonesia (Eks. BNI Syariah)
451,Bank Syariah Indonesia (Eks. Bank Syariah Mandiri, BSM)
422,Bank Syariah Indonesia (Eks. BRI Syariah)
200,Bank BTN
022,Bank CIMB
022,Bank CIMB Niaga Syariah
147,Bank Muamalat
213,Bank BTPN
547,Bank BTPN Syariah
213,Bank Jenius
013,Bank Permata
013,Bank Permata Syariah
046,Bank DBS Indonesia
046,Digibank
011,BANK DANAMON
016,BANK MAYBANK (BII)
426,BANK MEGA
153,BANK SINARMAS
950,BANK COMMONWEALTH
028,BANK OCBC NISP
441,BANK BUKOPIN
521,BANK BUKOPIN SYARIAH
536,ANK BCA SYARIAH
026,BANK LIPPO
031,CITIBANK
789,INDOSAT DOMPETKU
911,LINKAJA
023,Bank UOB Indonesia
023,TMRW by UOB Indonesia
542,Bank Jago (Bank Artos Indonesia)
490,Bank NEO Commerce (Akulaku)
110,BANK JABAR BJB (JAWA BARAT)
425,BANK JABAR BJB SYARIAH (JAWA BARAT)
111,BANK DKI JAKARTA
112,BPD DIY (YOGYAKARTA)
113,BANK JATENG (JAWA TENGAH)
114,BANK JATIM (JAWA TIMUR)
115,BANK JAMBI
116,BANK ACEH
116,BANK ACEH SYARIAH
117,BANK SUMUT
118,BANK NAGARI (BANK SUMBAR)
119,BANK RIAU KEPRI
120,BANK SUMSEL BABEL (SUMATERA SELATAN BANGKA BELITUNG)
